date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:01	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:02%20GMT	http://www.tailorspoint.com/stores.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/stores.php	(from http://www.tailorspoint.com/about_us)
19:41:02	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:03%20GMT	http://www.tailorspoint.com/privacy_policy.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/privacy_policy.php	(from http://www.tailorspoint.com/about_us)
19:41:02	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:04%20GMT	http://www.tailorspoint.com/shipping_policy.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/shipping_policy.php	(from http://www.tailorspoint.com/about_us)
19:41:03	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:04%20GMT	http://www.tailorspoint.com/return_refunds.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/return_refunds.php	(from http://www.tailorspoint.com/about_us)
19:41:04	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:05%20GMT	http://www.tailorspoint.com/faq.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/faq.php	(from http://www.tailorspoint.com/about_us)
19:41:04	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:05%20GMT	http://www.tailorspoint.com/contact_us.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/contact_us.php	(from http://www.tailorspoint.com/about_us)
19:41:04	49652/49652	---M--	200	added ('OK')	image/png	etag:%22c1f4-5811f48f69779%22	http://www.tailorspoint.com/assert/img/all_card.png	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/img/all_card.png	(from http://www.tailorspoint.com/about_us)
19:41:06	2254/2254	---M--	200	added ('OK')	application/javascript	etag:%228ce-5811f3ee8e7c8%22	http://www.tailorspoint.com/assert/js/jquery.hover-dropdown-menu-addon.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/jquery.hover-dropdown-menu-addon.js	(from http://www.tailorspoint.com/about_us)
19:41:07	3322/3322	---M--	200	added ('OK')	application/javascript	etag:%22cfa-5811f3ec974e6%22	http://www.tailorspoint.com/assert/js/jquery.easing.1.3.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/jquery.easing.1.3.js	(from http://www.tailorspoint.com/about_us)
19:41:08	118537/118537	---M--	200	added ('OK')	image/jpeg	etag:%221cf09-58123088aaca1%22	http://www.tailorspoint.com/assert/img/Banner%201.jpg	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/img/Banner%201.jpg	(from http://www.tailorspoint.com/about_us)
19:41:08	3631/3631	---M--	200	added ('OK')	application/javascript	etag:%22e2f-5811f3f08f6ea%22	http://www.tailorspoint.com/assert/js/jquery.sticky.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/jquery.sticky.js	(from http://www.tailorspoint.com/about_us)
19:41:09	36868/36868	---M--	200	added ('OK')	application/javascript	etag:%229004-5811f3e8e4c2e%22	http://www.tailorspoint.com/assert/js/bootstrap.min.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/bootstrap.min.js	(from http://www.tailorspoint.com/about_us)
19:41:10	1478/1478	---M--	200	added ('OK')	application/javascript	etag:%225c6-5811f3f171826%22	http://www.tailorspoint.com/assert/js/jquery.appear.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/jquery.appear.js	(from http://www.tailorspoint.com/about_us)
19:41:10	41627/41627	---M--	200	added ('OK')	application/javascript	etag:%22a29b-5811f3fab983f%22	http://www.tailorspoint.com/assert/js/hover-dropdown-menu.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/hover-dropdown-menu.js	(from http://www.tailorspoint.com/about_us)
19:41:10	3560/3560	---M--	200	added ('OK')	application/javascript	etag:%22de8-5811f3f2554b9%22	http://www.tailorspoint.com/assert/js/effect.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/effect.js	(from http://www.tailorspoint.com/about_us)
19:41:14	23882/23882	---M--	200	added ('OK')	application/javascript	etag:%225d4a-5811f3e198546%22	http://www.tailorspoint.com/assert/js/owl.carousel.min.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/owl.carousel.min.js	(from http://www.tailorspoint.com/about_us)
19:41:15	30629/30629	---M--	200	added ('OK')	application/javascript	etag:%2277a5-5811f3ea01ad4%22	http://www.tailorspoint.com/assert/js/price-filter.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/price-filter.js	(from http://www.tailorspoint.com/about_us)
19:41:16	12453/12453	---M--	200	added ('OK')	application/javascript	etag:%2230a5-5811f3e3a9251%22	http://www.tailorspoint.com/assert/js/jquery.parallax-1.1.3.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/jquery.parallax-1.1.3.js	(from http://www.tailorspoint.com/about_us)
19:41:17	35296/35296	---M--	200	added ('OK')	application/javascript	etag:%2289e0-5811f3f76b11c%22	http://www.tailorspoint.com/assert/js/jquery.prettyPhoto.js	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/assert/js/jquery.prettyPhoto.js	(from http://www.tailorspoint.com/about_us)
